"Event ID","Event Name","Start Date","End Date","Country","City","Partner Name","Australia or Overseas","Category","Notes"
"1","Hong Kong GBP Alumni Event","4/02/2026","4/02/2026","Hong Kong","Hong Kong SAR","UNSW","Overseas","[""Alumni Event""]",
"2","Felix Sarawak Visit","5/02/2026","5/02/2026","Malaysia","Sarawak","Sarawak Digital Economy Corporation","Overseas","[""Partner Meetings/Events""]",
"3","Thailand Digital Skills Roadshow","4/03/2026","4/03/2026","Thailand","Bangkok","StudyNSW","Overseas","[""Industry Partnership""]",
"4","Hamburg University of Technology visits UNSW","12/03/2026","12/03/2026","Germany","Hamburg","Hamburg University of Technology","Australia","[""Partner Meetings/Events""]",
"5","University of Calgary / Haskayne School of Business Delegation Visit","16/03/2026","16/03/2026","Canada","Calgary","University of Calgary","Overseas","[""Partner Meetings/Events""]","<span>Reason for visit&#58; To explore the potential for a strategic partnership between UNSW Business School and the University of Calgary, with a focus on developing deeper, high‑quality collaboration in research and student exchange, building on existing people‑to‑people relationships.<br></span><div><br></div><div><br></div><div>Key discussion points&#58; Strong alignment in impact‑driven research priorities including AI in business, healthcare, FinTech, quantum computing, and workplace health and wellbeing; shared interest in research translation, industry engagement models (e.g. PRAxIS Lab), and trust‑building with external partners.<br></div><div><br></div><div><br></div><span>Outcomes and follow‑up&#58; Agreement to progress discussions around pilot research collaborations supported by seed funding, explore PhD exchange or linked PhD pathways as an initial mobility initiative, and identify academic leads to formalise and scale collaboration at an institutional level.</span><br>"
"6","SIM Global Education Delegation Visit","17/03/2026","17/03/2026","Singapore",,"SIM Global Education","Australia","[""Partner Meetings/Events""]",
"7","Hong Kong Metropolitan University Delegation Visit","26/03/2026","26/03/2026","Hong Kong",,"Hong Kong Metropolitan University","Australia","[""Partner Meetings/Events"",""Study Tour""]",
"8","Singapore Parliament Delegation Visit","27/03/2026","27/03/2026","Singapore",,"Singapore Parliament","Australia","[""Industry Partnership""]",
"9","Yu Loon Wong visits UNSw","15/04/2026","15/04/2026","Singapore",,"Yu Loon Wong","Australia","[""Partner Meetings/Events""]","Yu Loon Wong is the executive director and deputy group CEO of Boustead Singapore, and also a huge donator to UNSW Founders"
"10","Vietnam Open Day","19/04/2026","19/04/2026","Vietnam","Ho Chi Minh City","UNSW","Overseas","[""Future Student Recruitment""]",
"11","Singapore Open Day","18/04/2026","18/04/2026","Singapore",,"UNSW","Overseas","[""Future Student Recruitment""]",
"12","Chunghua County Council visits UNSW","1/05/2026","1/05/2026","Taiwan (China)",,"Chunghua County Council","Australia","[""Partner Meetings/Events""]",
"14","Tsinghua University Delegation Visit","6/05/2026","6/05/2026","China","Beijing","Tsinghua University","Australia","[""Partner Meetings/Events""]",
"15","Hong Kong Metropolitan University GISP","11/05/2026","22/05/2026","Hong Kong","Hong Kong SAR","Hong Kong Metropolitan University","Australia","[""Study Tour""]",
"13","DVC Global Vietnam National University Ho Chi Minh City","4/05/2026","4/05/2026","Vietnam","Ho Chi Minh","Vietnam National University","Australia","[""Partner Meetings/Events""]",
